Property_names,TOP_year
Newport Residences,2028
Boulevard 88,2022
Piermont Grand,2022
Midwood,2022
Verdale,2024
One Holland Village Residences,2024
Parc Komo/Komo Shoppes,2024
Kassia,2027
Terra Hill,2026
The Continuum,2027
Tembusu Grand,2028
Marina View Residences,2026
Urban Treasures,2023
The Landmark,2025
Dairy Farm Residences/Dairy Farm Mall,2027
Ola,2023
Forett at Bukit Timah,2025
Parc Central Residences,2025
Penrose,2025
Pollen Collection,2026
Provence Residence,2024
Parc Greenwich,2024
The Commodore,2026
Skywaters Residences,2027
Copen Grand,2027
