Property_names,TOP_year
Terra Hill,
The Botany at Dairy Farm, TOP 2027 
Sceneca Residence, TOP 2027 
Lentor Modern, TOP 2026 
AMO Residence, TOP 2026 
LIV @ MB, TOP 2024 
The Gazania, TOP 2022 
Canninghill Piers, TOP 2025 
Piccadilly Grand, TOP 2026 
15 Holland Hill, TOP 2022 
Mori @ Guillemard, TOP 2026 
MeyerHouse, TOP 2021 
The Watergardens at Canberra, TOP 2026 
RoyalGreen, TOP 2022 
The Avenir, TOP 2023 
Ki Residences At Brookvale, TOP 2024 
Meyer Mansion, TOP 2024 
Peak Residence, TOP 2025 
One Pearl Bank, TOP 2023 
Kopar at Newton, TOP 2023 
Amber Park, TOP 2023 
Phoenix Residences, TOP 2024 
Hyll on Holland, TOP 2025 
Leedon Green, TOP 2024 
Midtown Bay, TOP 2022 
The Commodore at Canberra, TOP 2024 
Irwell Hill Residences, TOP 2026 
The Lilium, TOP 2021 
Wilshire Residences, TOP 2024 
One Meyer, TOP 2024 
Coastline Residences, TOP 2023 
Marina One Residences, TOP 2017 
Haus on Handy, TOP 2023 
The Rivière, TOP 2023 
The Iveria, TOP 2023 
Forett @ Bukit Timah, TOP 2024 
Avenue South Residence, TOP 2023 
Parc Clematis, TOP 2023 
Pullman Residences Newton, TOP 2023 
One Bernam, TOP 2025 
1953 @ Tessensohn, TOP 2023 
The M, TOP 2024 
Van Holland, TOP 2024 
Pasir Ris 8, TOP 2025 
Midtown Modern, TOP 2024 
Nouvel 18, TOP 2020 
The Verticus, TOP 2024 
Sengkang Grand Residences, TOP 2023 
Kent Ridge Hill Residences, TOP 2023 
Sky Everton, TOP 2023 
Parc Komo, TOP 2023 
NYON @ 12 Amber, TOP 2022 
The Woodleigh Residences, TOP 2022 
Mayfair Gardens, TOP 2023 
Mayfair Modern, TOP 2023 
THE HYDE, TOP 2023 
19 Nassim, TOP 2023 
Klimt Cairnhill, TOP 2025 
The Atelier, TOP 2024 
10 Evelyn, TOP 2020 
Fyve Derbyshire, TOP 2023 
The Florence Residences, TOP 2024 
Juniper Hill, TOP 2022 
Normanton Park, TOP 2023 
Clavon, TOP 2024 
Neu at Novena, TOP 2024 
Sloane Residences, TOP 2023 
One Holland Village, TOP 2024 
The Midwood, TOP 2023 
The Antares, TOP 2023 
One-north Eden, TOP 2025 
Treasure at Tampines, TOP 2023 
The Penrose, TOP 2024 
The Jovell, TOP 2022 
Affinity at Serangoon, TOP 2024 
Uptown @ Farrer, TOP 2022 
Dairy Farm Residences, TOP 2023 
Whistler Grand, TOP 2022 
View at Kismis, TOP 2023 
Stirling Residences, TOP 2022 
Casa Al Mare, TOP 2022 
TwentyOne Angullia Park, TOP 2014 
Riverfront Residences, TOP 2023 
Arena Residences, TOP 2022 
JadeScape, TOP 2023 
The Essence, TOP 2021 
RV Altitude, TOP 2022 
Jui Residences, TOP 2022 
Daintree Residence, TOP 2023 
New Futura @ Leonie Hill, TOP 2017 
Twin VEW, TOP 2022 
The Garden Residences, TOP 2023 
8 St Thomas, TOP 2018 
The Tre Ver, TOP 2022 
AMBER 45, TOP 2021 
Parc Esta, TOP 2022 
The Ramford, TOP 2022 
Park Colonial, TOP 2022 
The Addition, TOP 2023 
Linq @ Beauty World, TOP 2023 
Mont Botanik Residence, TOP 2022 
Margaret Ville, TOP 2021 
Sky Habitat @ Bishan, TOP 2016 
The Interlace, TOP 2013 
The Verandah Residences, TOP 2023 
Sant Ritz @ Potong Pasir MRT, TOP 2016 
Riversails Condominium, TOP 2016 
eCO Condo @ Tanah Merah, TOP 2017 
